fips,start,end,aet,cwd
51045,2007,2011,583.9996595,481.0646204
51045,2012,2016,616.784642,421.2385256
48019,1950,1980,545.5841702,1018.940558
48019,1982,2011,575.0040595,974.7824309
48019,2007,2011,523.8300499,1047.247836
48019,2012,2016,565.8121092,989.9746792
48377,1950,1980,241.8281788,1592.947658
48377,1982,2011,250.0074924,1562.591361
48377,2007,2011,204.4528401,1615.786658
48377,2012,2016,194.036519,1621.434416
13155,1950,1980,760.0088334,700.3945831
13155,1982,2011,730.5840575,724.6459569
13155,2007,2011,668.6816034,807.987992
13155,2012,2016,708.7895463,726.7375557
13083,1950,1980,706.8620452,564.5056345
13083,1982,2011,694.6940847,547.9966669
13083,2007,2011,655.1138478,609.7618553
13083,2012,2016,653.0715813,590.3253734
45013,1950,1980,700.4149062,655.2269933
45013,1982,2011,665.5539669,695.3985951
45013,2007,2011,621.6746086,773.1014177
45013,2012,2016,668.6962093,694.5078018
5047,1950,1980,614.4588517,729.2698866
5047,1982,2011,646.8803474,646.8611614
5047,2007,2011,642.88746,629.3385532
5047,2012,2016,632.5193364,658.8904899
51025,1950,1980,647.6598999,612.1171823
51025,1982,2011,671.9404004,597.6866956
51025,2007,2011,621.9267929,654.6980174
51025,2012,2016,697.0298858,533.5423999
16023,1950,1980,179.1630512,860.2976089
16023,1982,2011,184.6471407,865.7227604
16023,2007,2011,168.7450791,852.5415781
16023,2012,2016,179.4284929,893.9821601
36027,1950,1980,514.065613,480.7162207
36027,1982,2011,528.1711972,475.1894082
36027,2007,2011,549.8799742,450.43293
36027,2012,2016,496.6776859,529.0788732
51087,1950,1980,604.3225237,631.5801154
51087,1982,2011,616.0598675,621.2801369
51087,2007,2011,577.6896657,669.1424185
51087,2012,2016,674.4633618,534.6873307
